Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1893,-.13,-.17,-.12,-.24,-.25,-.32,-.14,-.17,-.16,-.08,-.04,-.04,-.15,-.16,-.14,-.20,-.21,-.09
1894,-.14,-.16,-.24,-.36,-.36,-.40,-.27,-.20,-.23,-.18,-.04,-.07,-.22,-.22,-.11,-.32,-.29,-.15
1895,-.13,-.06,-.16,-.25,-.24,-.21,-.14,-.06,-.17,-.11,-.20,-.05,-.15,-.15,-.09,-.22,-.14,-.16
1896,-.09,-.07,-.03,-.01,-.15,-.29,-.04,.01,-.02,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.12,.00,-.16,-.15,-.08,-.11,-.09,-.10,-.10,-.13,-.05,-.03,.09,-.01,-.11,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.29,-.32,-.35,-.25,-.32,-.26,-.20,-.26,-.26,-.13,-.30,-.32,-.27
1899,-.20,-.13,-.14,-.18,-.21,-.27,-.15,-.10,-.05,-.11,-.09,-.06,-.14,-.15,-.18,-.18,-.17,-.08
1900,-.11,.03,-.05,-.08,-.13,-.09,-.13,-.08,-.06,-.02,.00,-.10,-.07,-.06,-.05,-.09,-.10,-.03
1901,-.11,-.13,-.15,-.15,-.18,-.24,-.29,-.24,-.17,-.26,-.14,-.15,-.18,-.18,-.11,-.16,-.26,-.19
1902,-.19,-.15,-.17,-.18,-.25,-.22,-.22,-.30,-.23,-.27,-.26,-.23,-.22,-.22,-.16,-.20,-.25,-.25
1903,-.25,-.23,-.30,-.36,-.36,-.39,-.27,-.35,-.50,-.47,-.44,-.47,-.37,-.35,-.24,-.34,-.34,-.47
1904,-.52,-.57,-.57,-.51,-.60,-.48,-.43,-.43,-.48,-.39,-.27,-.32,-.46,-.48,-.52,-.56,-.45,-.38
1905,-.28,-.36,-.21,-.22,-.29,-.27,-.30,-.16,-.17,-.21,-.22,-.08,-.23,-.25,-.32,-.24,-.24,-.20
1906,.01,-.05,-.17,-.15,-.27,-.28,-.19,-.23,-.32,-.23,-.36,-.34,-.22,-.19,-.04,-.20,-.23,-.31
1907,-.29,-.30,-.24,-.30,-.34,-.33,-.30,-.29,-.28,-.26,-.37,-.36,-.31,-.30,-.31,-.29,-.31,-.30
1908,-.35,-.38,-.40,-.41,-.47,-.47,-.35,-.35,-.41,-.44,-.42,-.44,-.41,-.40,-.37,-.43,-.39,-.42
1909,-.52,-.47,-.42,-.53,-.60,-.52,-.46,-.32,-.41,-.46,-.54,-.56,-.48,-.47,-.48,-.52,-.43,-.47
1910,-.51,-.45,-.52,-.45,-.39,-.33,-.31,-.34,-.35,-.51,-.54,-.54,-.44,-.44,-.51,-.46,-.33,-.47
1911,-.55,-.58,-.59,-.63,-.59,-.67,-.47,-.45,-.44,-.34,-.23,-.13,-.47,-.51,-.55,-.60,-.53,-.34
1912,-.18,-.15,-.16,-.20,-.29,-.33,-.32,-.31,-.33,-.31,-.27,-.30,-.26,-.25,-.15,-.22,-.32,-.31
1913,-.25,-.25,-.39,-.29,-.33,-.40,-.20,-.20,-.27,-.24,-.24,-.15,-.27,-.28,-.27,-.34,-.27,-.25
1914,-.08,-.09,-.12,-.20,-.23,-.28,-.13,-.05,-.03,-.05,-.08,-.02,-.11,-.12,-.11,-.18,-.15,-.05
1915,-.14,.02,.05,.06,-.10,-.29,-.13,-.28,-.19,-.21,-.23,-.19,-.14,-.12,-.05,.00,-.23,-.21
1916,-.16,-.13,-.18,-.27,-.34,-.48,-.40,-.20,-.24,-.32,-.49,-.52,-.31,-.28,-.16,-.26,-.36,-.35
1917,-.64,-.59,-.53,-.47,-.39,-.39,-.19,-.06,-.16,-.27,-.37,-.30,-.36,-.38,-.58,-.46,-.21,-.27
1918,-.28,-.24,-.26,-.31,-.38,-.29,-.29,-.27,-.09,-.06,.02,.00,-.21,-.23,-.27,-.32,-.28,-.05
1919,-.01,-.05,-.03,-.02,-.14,-.32,-.25,-.38,-.31,-.31,-.35,-.29,-.20,-.18,-.02,-.06,-.32,-.33
1920,-.34,-.24,-.25,-.28,-.32,-.45,-.34,-.20,-.08,-.13,-.09,-.21,-.24,-.25,-.29,-.28,-.33,-.10
1921,-.29,-.28,-.37,-.44,-.36,-.39,-.26,-.22,-.19,-.05,-.18,-.22,-.27,-.27,-.26,-.39,-.29,-.14
1922,-.28,-.26,-.19,-.30,-.48,-.45,-.28,-.29,-.29,-.33,-.17,-.24,-.30,-.30,-.25,-.32,-.34,-.27
1923,-.38,-.32,-.29,-.29,-.28,-.34,-.32,-.38,-.43,-.32,-.20,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.16,-.25,-.18,-.33,-.30,-.32,-.35,-.45,-.41,-.47,-.53,-.51,-.36,-.33,-.20,-.27,-.37,-.47
1925,-.51,-.43,-.33,-.36,-.36,-.38,-.27,-.20,-.33,-.24,-.11,-.08,-.30,-.34,-.48,-.35,-.28,-.23
1926,-.11,-.12,-.15,-.11,-.22,-.29,-.33,-.19,-.23,-.27,-.28,-.28,-.21,-.20,-.11,-.16,-.27,-.26
1927,-.25,-.27,-.30,-.35,-.38,-.40,-.29,-.30,-.27,-.24,-.19,-.26,-.29,-.29,-.27,-.34,-.33,-.23
1928,-.28,-.26,-.26,-.23,-.41,-.43,-.28,-.25,-.26,-.29,-.22,-.29,-.29,-.29,-.27,-.30,-.32,-.26
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.38,-.43,-.29,-.26,-.19,-.41,-.38,-.37,-.33,-.47,-.42,-.25
1930,-.47,-.34,-.33,-.33,-.28,-.31,-.36,-.29,-.27,-.23,-.08,-.17,-.29,-.31,-.41,-.32,-.32,-.19
1931,-.19,-.15,-.12,-.23,-.22,-.29,-.14,-.15,-.28,-.24,-.36,-.20,-.21,-.21,-.17,-.19,-.19,-.30
1932,-.09,-.15,-.16,-.21,-.24,-.41,-.33,-.34,-.29,-.31,-.22,-.31,-.26,-.25,-.15,-.20,-.36,-.27
1933,-.27,-.28,-.27,-.32,-.32,-.36,-.29,-.32,-.30,-.32,-.38,-.35,-.32,-.31,-.29,-.30,-.32,-.33
1934,-.30,-.40,-.32,-.32,-.27,-.27,-.16,-.13,-.16,-.25,-.20,-.22,-.25,-.26,-.35,-.30,-.19,-.20
1935,-.26,-.29,-.31,-.38,-.28,-.38,-.37,-.36,-.34,-.21,-.18,-.16,-.30,-.30,-.26,-.33,-.37,-.25
1936,-.26,-.24,-.28,-.33,-.31,-.47,-.28,-.28,-.24,-.12,-.12,-.17,-.26,-.26,-.22,-.31,-.34,-.16
1937,-.24,-.17,-.17,-.24,-.22,-.23,-.20,-.11,-.09,-.15,-.08,-.14,-.17,-.17,-.19,-.21,-.18,-.11
1938,-.19,-.21,-.16,-.19,-.22,-.27,-.17,-.20,-.14,-.04,-.17,-.14,-.18,-.18,-.18,-.19,-.21,-.12
1939,-.15,-.13,-.12,-.12,-.10,-.13,-.15,-.18,-.26,-.14,-.10,.09,-.12,-.14,-.14,-.11,-.15,-.17
1940,.11,.04,.17,.08,.07,.07,.10,.09,.07,-.03,.06,.29,.09,.08,.08,.11,.09,.03
1941,.20,.17,.10,.22,.14,.08,.21,.13,-.02,.23,.29,.26,.17,.17,.22,.15,.14,.16
1942,.19,.14,.12,.10,.06,.00,.01,.00,-.16,-.25,-.09,-.04,.01,.03,.19,.09,.00,-.17
1943,.06,-.04,-.08,-.11,-.10,-.04,.18,-.08,-.04,.00,.03,.08,-.01,-.02,-.01,-.10,.02,.00
1944,.08,.05,.21,.21,.14,.17,.23,.22,.21,.09,.03,.09,.14,.14,.07,.19,.21,.11
1945,.10,.08,.03,.09,.04,-.05,.02,.25,.22,.13,.07,.08,.09,.09,.09,.06,.07,.14
1946,-.04,-.03,-.09,-.21,-.17,-.37,-.21,-.31,-.12,-.17,-.18,-.15,-.17,-.15,.01,-.15,-.30,-.16
1947,-.08,-.12,-.16,-.11,-.09,-.03,-.05,-.09,-.23,-.26,-.15,-.22,-.13,-.13,-.12,-.12,-.06,-.21
1948,-.18,-.14,-.21,-.20,-.17,-.15,-.23,-.25,-.26,-.18,-.28,-.08,-.19,-.21,-.18,-.20,-.21,-.24
1949,-.10,-.19,-.08,-.19,-.20,-.34,-.15,-.20,-.19,-.20,-.25,-.22,-.19,-.18,-.12,-.16,-.23,-.21
1950,-.23,-.27,-.21,-.20,-.19,-.05,-.01,-.12,-.15,-.35,-.35,-.32,-.21,-.20,-.24,-.20,-.06,-.28
1951,-.34,-.32,-.22,-.35,-.18,-.11,-.09,-.10,-.21,-.11,-.08,-.06,-.18,-.20,-.33,-.25,-.10,-.13
1952,.07,.06,.07,-.10,-.19,-.22,-.05,.02,.00,.01,-.05,-.04,-.03,-.04,.03,-.08,-.08,-.01
1953,-.09,-.07,-.02,-.02,-.01,-.01,-.19,-.06,-.08,-.10,-.12,-.12,-.07,-.07,-.06,-.02,-.09,-.10
1954,-.23,-.19,-.13,-.27,-.33,-.34,-.29,-.34,-.28,-.18,-.20,-.27,-.25,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.20,-.22,-.22,-.28,-.18,-.19,-.05,-.21,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.14,-.22
1956,-.23,-.17,-.19,-.29,-.29,-.12,.00,-.24,-.08,-.19,-.06,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.01,.00,.09,.23,.18,-.06,.14,.05,-.04,.04,.06,.05,.05,-.03,.11,.09,.02
1958,.10,.17,.02,.01,.00,-.21,.05,-.22,-.12,.01,.02,-.15,-.03,-.01,.11,.01,-.12,-.03
1959,-.08,-.02,.03,.09,.04,-.08,.01,-.11,-.25,-.10,-.18,-.10,-.06,-.07,-.08,.05,-.06,-.18
1960,-.15,-.15,-.29,-.17,-.19,-.26,-.16,-.07,.02,.06,-.14,-.02,-.13,-.13,-.14,-.22,-.16,-.02
1961,-.03,.08,-.04,.12,.18,.05,-.04,-.03,.19,.03,-.01,-.15,.03,.04,.01,.09,-.01,.07
1962,-.17,-.07,-.09,-.13,-.14,.19,-.06,-.05,.03,-.10,.00,-.15,-.06,-.06,-.13,-.12,.03,-.02
1963,-.14,-.14,-.16,-.19,-.07,.14,.03,.30,.22,-.12,-.12,-.08,-.03,-.03,-.14,-.14,.15,-.01
1964,-.13,-.17,-.10,-.33,-.40,.01,.04,-.21,-.31,-.32,-.21,-.33,-.20,-.18,-.12,-.27,-.05,-.28
1965,-.15,.03,-.16,-.12,-.10,.04,-.08,.12,-.10,-.08,-.15,-.07,-.07,-.09,-.15,-.13,.03,-.11
1966,-.12,-.12,.08,-.03,-.19,-.04,.06,-.30,-.12,-.23,-.03,-.02,-.09,-.09,-.10,-.05,-.10,-.12
1967,.03,-.03,-.14,-.14,.04,-.10,-.01,-.05,-.10,-.12,-.14,-.12,-.07,-.07,-.01,-.08,-.05,-.12
1968,-.24,-.13,-.04,-.11,-.22,-.14,-.17,-.09,-.32,.18,.13,.05,-.09,-.11,-.16,-.13,-.13,.00
1969,.22,.12,.22,.31,.26,.10,-.13,.04,.13,.16,.10,.18,.14,.13,.13,.26,.00,.13
1970,.20,.17,.19,.13,-.06,-.06,.07,-.15,.28,.25,.02,.06,.09,.10,.19,.09,-.04,.18
1971,.09,-.10,-.08,.06,.01,-.19,-.02,.14,.03,.06,-.13,-.04,-.01,-.01,.02,.00,-.03,-.01
1972,.09,.17,.04,.12,.09,.19,.09,.40,.31,.21,.25,.42,.20,.16,.08,.08,.23,.26
1973,.43,.21,.26,.36,.36,.21,.22,.08,.26,.27,.18,-.10,.23,.27,.35,.33,.17,.23
1974,.05,-.18,-.14,-.14,.11,.08,.06,.30,.00,.10,.05,.09,.03,.02,-.08,-.06,.15,.05
1975,.03,.06,.14,.02,.32,.06,.05,-.20,.02,-.06,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.13,-.01,-.12,-.17,-.15,-.05,.07,-.04,-.01,.03,.21,.47,.01,-.04,-.09,-.15,.00,.08
1977,.52,.34,.22,.27,.42,.31,.32,.32,-.08,.09,.06,.04,.24,.27,.44,.30,.32,.02
1978,-.03,.16,.17,.26,.24,.11,.15,-.12,.12,.06,.11,.13,.11,.10,.06,.22,.04,.09
1979,.22,.16,.20,.47,.06,.20,.03,.29,.31,.29,.32,.41,.25,.22,.17,.24,.18,.31
1980,.38,.38,.52,.45,.44,.22,.30,.27,.31,.15,.38,.34,.34,.35,.39,.47,.26,.28
1981,.25,.21,.28,.25,.30,.30,.54,.52,.15,.01,.11,.28,.27,.27,.27,.28,.45,.09
1982,.24,.14,.00,.13,.26,.10,.24,.14,.22,.26,.46,.48,.22,.21,.22,.13,.16,.32
1983,.51,.51,.41,.49,.63,.36,.18,.46,.49,.22,.12,.22,.38,.40,.50,.51,.33,.27
1984,.28,.26,.34,.19,.42,-.03,.30,.33,.46,.19,.23,.33,.27,.26,.25,.32,.20,.29
1985,.36,.22,.35,.27,.20,.29,.15,.34,.23,.21,.08,.12,.23,.25,.30,.27,.26,.17
1986,.15,.42,.34,.29,.23,.10,.25,.27,.09,.22,.17,.20,.23,.22,.23,.29,.21,.16
1987,.39,.35,.37,.42,.29,.53,.56,.24,.32,.44,.49,.43,.40,.38,.31,.36,.44,.42
1988,.54,.42,.56,.41,.45,.40,.24,.53,.47,.52,.18,.15,.41,.43,.46,.47,.39,.39
1989,.16,.19,.25,.25,.12,.06,.36,.40,.45,.33,.28,.40,.27,.25,.16,.21,.28,.35
1990,.35,.32,.42,.41,.41,.27,.58,.27,.04,.41,.47,.43,.36,.36,.36,.41,.37,.31
1991,.25,.42,.25,.46,.35,.58,.52,.43,.52,.28,.27,.43,.40,.40,.37,.35,.51,.36
1992,.33,.30,.41,.39,.44,.47,.27,.23,.17,.30,.14,.21,.31,.32,.35,.41,.33,.20
1993,.30,.21,.33,.32,.25,.24,.38,.19,.29,.35,.28,.14,.27,.28,.24,.30,.27,.31
1994,.18,.09,.09,.34,.17,.45,.26,.11,.29,.31,.39,.41,.26,.24,.14,.20,.27,.33
1995,.29,.38,.34,.21,.13,.36,.54,.37,.23,.32,.32,.25,.31,.32,.36,.23,.42,.29
1996,.22,.36,.33,.49,.19,.26,.43,.77,.46,.39,.47,.39,.40,.38,.28,.34,.49,.44
1997,.29,.20,.28,.17,.26,.60,.27,.35,.54,.60,.70,.68,.41,.39,.29,.24,.40,.61
1998,.55,.71,.53,.39,.70,.81,.58,.59,.23,.31,.37,.35,.51,.54,.65,.54,.66,.30
1999,.36,.26,.35,.09,.16,.37,.41,.32,.36,.28,.21,.14,.28,.29,.32,.20,.37,.28
2000,.11,.21,.25,.23,.16,.35,.36,.37,.41,.25,.41,.28,.28,.27,.15,.21,.36,.35
2001,.32,.41,.34,.40,.45,.52,.55,.29,.46,.39,.46,.45,.42,.41,.34,.40,.45,.44
2002,.51,.41,.63,.64,.76,.38,.57,.51,.64,.55,.40,.46,.54,.54,.45,.68,.49,.53
2003,.56,.59,.53,.49,.49,.41,.48,.42,.46,.46,.40,.51,.48,.48,.54,.50,.44,.44
2004,.48,.52,.38,.51,.21,.40,.03,.35,.41,.52,.48,.56,.40,.40,.51,.37,.26,.47
2005,.54,.47,.53,.40,.48,.51,.48,.51,.53,.57,.42,.51,.50,.50,.53,.47,.50,.51
2006,.47,.51,.47,.33,.20,.51,.39,.72,.49,.43,.52,.42,.46,.46,.50,.33,.54,.48
2007,.56,.50,.49,.46,.66,.56,.54,.47,.52,.34,.35,.21,.47,.49,.49,.54,.53,.41
2008,.25,.16,.34,.41,.38,.37,.59,.33,.64,.49,.42,.42,.40,.38,.21,.38,.43,.52
2009,.46,.35,.48,.51,.65,.61,.78,.66,.59,.52,.75,.68,.59,.56,.41,.55,.68,.62
2010,.69,.72,.73,.55,.57,.51,.38,.47,.56,.53,.40,.38,.54,.57,.69,.62,.46,.50
2011,.42,.39,.41,.44,.40,.49,.69,.77,.38,.40,.52,.32,.47,.47,.40,.42,.65,.43
2012,.28,.39,.43,.39,.59,.35,.33,.55,.58,.69,.60,.60,.48,.46,.33,.47,.41,.62
2013,.56,.44,.52,.38,.43,.61,.50,.67,.82,.55,.54,.55,.55,.55,.54,.44,.59,.64
2014,.54,.38,.35,.51,.82,.54,.40,.75,.91,.67,.53,.46,.57,.58,.49,.56,.56,.70
2015,.52,.61,.59,.48,.55,.57,.55,.59,.51,.87,.76,.80,.62,.59,.53,.54,.57,.71
2016,.80,.79,.80,.71,.79,.50,.65,.91,.58,.71,.72,.68,.72,.73,.80,.77,.68,.67
2017,.65,.75,.81,.68,.89,.49,.66,.73,.51,.73,.53,.48,.66,.68,.69,.79,.63,.59
2018,.51,.45,.58,.79,.61,.66,.73,.65,.62,.80,.70,.76,.66,.63,.48,.66,.68,.71
2019,.67,.77,.78,.76,.71,.61,.84,.78,.64,.70,.80,.82,.74,.74,.73,.75,.75,.72
2020,.76,.77,.68,.84,.72,.69,.68,.61,.74,.54,.59,.40,.67,.70,.78,.75,.66,.62
2021,.36,.32,.57,.38,.53,.48,.76,.60,.80,.67,.55,.58,.55,.53,.36,.49,.61,.67
2022,.58,.61,.67,.57,.66,.70,.80,.71,.62,.61,.36,.52,.62,.62,.59,.63,.74,.53
2023,.45,.64,.81,.95,.75,.97,.94,.83,1.28,.83,.85,.86,.85,.82,.54,.84,.91,.98
2024,.82,.93,1.00,.83,.88,.94,.98,1.17,.88,.96,.70,.82,.91,.91,.87,.90,1.03,.85
2025,.90,.89,.89,.88,.93,.92,.81,1.05,1.08,.88,.73,.68,.89,.90,.87,.90,.93,.90
2026,.75,.88,1.02,***,***,***,***,***,***,***,***,***,***,***,.77,***,***,***
